caseid,birthyr,gender,race,educ,pid3,pid7,presvote20post,inputstate,region,party,visits_adult,visits_nonadult,visits,prop_adult_visits,rep,duration_adult,duration_nonadult,duration,prop_adult_duration,yes_visit_adults,race2,cohort,age,age2,educ2
284508609,1983,1,3,5,3,4,6,6,4,I,0.0,3617.0,3617.0,0.0,,0.0,184616.0,184616.0,0.0,0.0,3,1980,40,1600,4
284670385,2002,1,4,2,1,1,6,26,2,D,0.0,11268.0,11268.0,0.0,0.0,0.0,383316.0,383316.0,0.0,0.0,4,2000,21,441,2
284804833,1993,2,1,5,1,2,1,33,1,D,,,,,0.0,,,,,,1,1990,30,900,4
285625365,1996,2,1,5,2,7,2,48,3,R,0.0,1081.0,1081.0,0.0,1.0,0.0,355678.0,355678.0,0.0,0.0,1,2000,27,729,4
286102281,2000,2,1,3,3,3,1,45,3,D,0.0,19128.0,19128.0,0.0,0.0,0.0,470955.0,470955.0,0.0,0.0,1,2000,23,529,3
286227241,1982,1,1,1,5,4,6,4,4,I,269.0,496.0,765.0,35.16339869281046,,19728.0,35389.0,55117.0,35.79294954369795,1.0,1,1980,41,1681,1
286244473,1982,2,1,6,1,1,1,13,3,D,4.0,2757.0,2761.0,0.14487504527345166,0.0,170.0,191750.0,191920.0,0.0885785744060025,1.0,1,1980,41,1681,4
286490833,2002,2,1,3,-1,-1,-1,6,4,,0.0,22.0,22.0,0.0,,0.0,539.0,539.0,0.0,0.0,1,2000,21,441,3
286580901,1970,2,2,6,1,1,1,26,2,D,,,,,0.0,,,,,,2,1970,53,2809,4
286591993,1977,1,4,1,3,3,6,4,4,D,0.0,6.0,6.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,4,1980,46,2116,1
286877073,1963,1,1,2,2,7,2,24,3,R,20.0,2261.0,2281.0,0.8768084173608066,1.0,152.0,168977.0,169129.0,0.08987222770784431,1.0,1,1960,60,3600,2
287108597,1982,1,3,2,1,1,1,6,4,D,276.0,249.0,525.0,52.57142857142857,0.0,115004.0,17861.0,132865.0,86.55703157340157,1.0,3,1980,41,1681,2
287217329,1978,2,4,5,5,8,6,6,4,,0.0,19102.0,19102.0,0.0,,0.0,452424.0,452424.0,0.0,0.0,4,1980,45,2025,4
287285341,1977,1,1,5,1,1,1,12,3,D,0.0,19901.0,19901.0,0.0,0.0,0.0,1619328.0,1619328.0,0.0,0.0,1,1980,46,2116,4
2873277,1967,2,1,2,1,1,6,6,4,D,11.0,14374.0,14385.0,0.0764685436218283,0.0,694.0,629455.0,630149.0,0.11013268290515417,1.0,1,1970,56,3136,2
287473937,1977,2,1,3,3,5,2,25,1,R,0.0,318.0,318.0,0.0,1.0,0.0,9861.0,9861.0,0.0,0.0,1,1980,46,2116,3
2876033,1958,2,1,5,2,6,2,27,2,R,0.0,2392.0,2392.0,0.0,1.0,0.0,84969.0,84969.0,0.0,0.0,1,1960,65,4225,4
287776541,1974,1,1,3,4,3,1,48,3,D,0.0,2600.0,2600.0,0.0,0.0,0.0,58951.0,58951.0,0.0,0.0,1,1970,49,2401,3
287888969,1960,1,1,5,4,5,2,39,2,R,0.0,2663.0,2663.0,0.0,1.0,0.0,128662.0,128662.0,0.0,0.0,1,1960,63,3969,4
287963033,1958,2,1,5,1,1,1,12,3,D,0.0,2045.0,2045.0,0.0,0.0,0.0,117190.0,117190.0,0.0,0.0,1,1960,65,4225,4
288292769,1986,2,1,3,1,1,1,24,3,D,0.0,6100.0,6100.0,0.0,0.0,0.0,279472.0,279472.0,0.0,0.0,1,1990,37,1369,3
288293957,1967,1,4,6,1,2,1,53,4,D,81.0,8105.0,8186.0,0.989494258490105,0.0,3386.0,341671.0,345057.0,0.9812871496593316,1.0,4,1970,56,3136,4
288319953,2000,2,6,3,3,3,1,51,3,D,0.0,1750.0,1750.0,0.0,0.0,0.0,55366.0,55366.0,0.0,0.0,5,2000,23,529,3
288351365,1999,2,1,5,1,2,6,18,2,D,0.0,4712.0,4712.0,0.0,0.0,0.0,163748.0,163748.0,0.0,0.0,1,2000,24,576,4
288954341,1980,2,1,6,3,5,2,6,4,R,0.0,7499.0,7499.0,0.0,1.0,0.0,404001.0,404001.0,0.0,0.0,1,1980,43,1849,4
288958305,2002,1,3,3,1,1,6,48,3,D,0.0,291.0,291.0,0.0,0.0,0.0,5832.0,5832.0,0.0,0.0,3,2000,21,441,3
288967217,1982,2,3,3,1,1,6,22,3,D,9.0,130.0,139.0,6.474820143884892,0.0,916.0,3558.0,4474.0,20.473848904783193,1.0,3,1980,41,1681,3
289059885,1982,1,1,3,-1,-1,-1,40,3,,0.0,2349.0,2349.0,0.0,,0.0,91646.0,91646.0,0.0,0.0,1,1980,41,1681,3
289143385,2001,1,3,2,3,4,1,34,1,I,0.0,267.0,267.0,0.0,,0.0,10375.0,10375.0,0.0,0.0,3,2000,22,484,2
289245653,1983,1,1,5,-1,-1,-1,39,2,,836.0,25081.0,25917.0,3.225681984797623,,12972.0,406225.0,419197.0,3.09448779452143,1.0,1,1980,40,1600,4
289407473,1977,1,1,6,1,1,1,17,2,D,0.0,9.0,9.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,1,1980,46,2116,4
289453645,1998,1,1,3,2,7,6,8,4,R,453.0,4435.0,4888.0,9.26759410801964,1.0,34698.0,137444.0,172142.0,20.156614887708983,1.0,1,2000,25,625,3
289456517,1995,1,3,5,1,2,1,6,4,D,2.0,1408.0,1410.0,0.14184397163120568,0.0,1140.0,125282.0,126422.0,0.9017417854487352,1.0,3,2000,28,784,4
289474569,1996,1,3,3,1,2,6,12,3,D,0.0,1099.0,1099.0,0.0,0.0,0.0,128495.0,128495.0,0.0,0.0,3,2000,27,729,3
289575093,1985,1,1,6,1,1,1,39,2,D,0.0,2859.0,2859.0,0.0,0.0,0.0,100210.0,100210.0,0.0,0.0,1,1980,38,1444,4
2895795,1972,2,1,3,3,3,1,39,2,D,0.0,19054.0,19054.0,0.0,0.0,0.0,288771.0,288771.0,0.0,0.0,1,1970,51,2601,3
289592077,1961,1,1,5,2,6,2,29,2,R,6.0,5769.0,5775.0,0.1038961038961039,1.0,598.0,361249.0,361847.0,0.16526321898481955,1.0,1,1960,62,3844,4
290100081,2003,2,1,1,3,3,-1,27,2,D,0.0,2424.0,2424.0,0.0,0.0,0.0,88366.0,88366.0,0.0,0.0,1,2000,20,400,1
290267513,1971,1,1,6,2,7,2,27,2,R,0.0,12210.0,12210.0,0.0,1.0,0.0,445955.0,445955.0,0.0,0.0,1,1970,52,2704,4
290371629,1997,2,7,5,3,3,1,13,3,D,0.0,611.0,611.0,0.0,0.0,0.0,67265.0,67265.0,0.0,0.0,5,2000,26,676,4
290400241,1983,2,4,6,1,1,1,41,4,D,0.0,3950.0,3950.0,0.0,0.0,0.0,659941.0,659941.0,0.0,0.0,4,1980,40,1600,4
290773741,1999,2,1,2,3,3,3,49,4,D,,,,,0.0,,,,,,1,2000,24,576,2
290858729,1974,2,1,5,1,1,1,27,2,D,0.0,4356.0,4356.0,0.0,0.0,0.0,168372.0,168372.0,0.0,0.0,1,1970,49,2401,4
2909235,1950,2,1,2,1,2,6,17,2,D,0.0,5472.0,5472.0,0.0,0.0,0.0,204667.0,204667.0,0.0,0.0,1,1950,73,5329,2
290990621,1988,1,1,3,3,3,1,13,3,D,0.0,277.0,277.0,0.0,0.0,0.0,16679.0,16679.0,0.0,0.0,1,1990,35,1225,3
2912283,1961,2,1,4,3,5,6,46,2,R,0.0,11282.0,11282.0,0.0,1.0,0.0,582962.0,582962.0,0.0,0.0,1,1960,62,3844,4
291606053,1993,1,3,3,5,4,6,55,2,I,219.0,517.0,736.0,29.7554347826087,,37458.0,15594.0,53052.0,70.60619769282968,1.0,3,1990,30,900,3
291624553,1979,1,1,6,3,4,1,42,1,I,0.0,3164.0,3164.0,0.0,,0.0,467566.0,467566.0,0.0,0.0,1,1980,44,1936,4
291634193,1992,2,2,4,3,4,1,22,3,I,0.0,1026.0,1026.0,0.0,,0.0,52970.0,52970.0,0.0,0.0,2,1990,31,961,4
292051745,2000,2,6,1,-1,-1,-1,41,4,,0.0,2604.0,2604.0,0.0,,0.0,59677.0,59677.0,0.0,0.0,5,2000,23,529,1
292069629,1975,2,1,2,1,2,6,42,1,D,0.0,83.0,83.0,0.0,0.0,0.0,11663.0,11663.0,0.0,0.0,1,1980,48,2304,2
292187605,1979,1,2,1,5,8,6,37,3,,67.0,850.0,917.0,7.306434023991276,,7514.0,29885.0,37399.0,20.091446295355492,1.0,2,1980,44,1936,1
292286781,1990,1,4,1,5,3,-1,36,1,D,0.0,13.0,13.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,4,1990,33,1089,1
292539833,1986,1,1,3,2,6,6,37,3,R,1.0,77.0,78.0,1.282051282051282,1.0,0.0,2210.0,2210.0,0.0,1.0,1,1990,37,1369,3
292750001,2002,1,1,2,3,4,6,47,3,I,0.0,3630.0,3630.0,0.0,,0.0,213673.0,213673.0,0.0,0.0,1,2000,21,441,2
2928249,1950,2,1,2,2,7,2,48,3,R,,,,,1.0,,,,,,1,1950,73,5329,2
293084321,1985,1,1,5,3,5,2,17,2,R,0.0,844.0,844.0,0.0,1.0,0.0,54301.0,54301.0,0.0,0.0,1,1980,38,1444,4
294487,1947,2,1,5,1,1,1,37,3,D,0.0,15042.0,15042.0,0.0,0.0,0.0,357011.0,357011.0,0.0,0.0,1,1950,76,5776,4
294765837,1992,2,3,2,3,4,6,9,1,I,0.0,474.0,474.0,0.0,,0.0,13579.0,13579.0,0.0,0.0,3,1990,31,961,2
295189309,1982,1,7,2,2,7,6,36,1,R,0.0,145.0,145.0,0.0,1.0,0.0,1948.0,1948.0,0.0,0.0,5,1980,41,1681,2
295670949,1963,1,1,2,1,1,1,29,2,D,0.0,20059.0,20059.0,0.0,0.0,0.0,306475.0,306475.0,0.0,0.0,1,1960,60,3600,2
2956723,1939,2,1,2,1,1,1,48,3,D,0.0,8736.0,8736.0,0.0,0.0,0.0,134163.0,134163.0,0.0,0.0,1,1940,84,7056,2
295867337,2001,2,3,3,2,6,6,56,4,R,0.0,1355.0,1355.0,0.0,1.0,0.0,207738.0,207738.0,0.0,0.0,3,2000,22,484,3
296069,1951,1,1,2,2,6,2,39,2,R,1063.0,5844.0,6907.0,15.390183871434775,1.0,32526.0,190629.0,223155.0,14.575519257914902,1.0,1,1950,72,5184,2
296066285,1982,2,1,4,5,5,6,32,4,R,271.0,7769.0,8040.0,3.3706467661691546,1.0,5186.0,133533.0,138719.0,3.738492924545304,1.0,1,1980,41,1681,4
296125949,1949,1,1,4,2,6,2,36,1,R,0.0,8405.0,8405.0,0.0,1.0,0.0,247274.0,247274.0,0.0,0.0,1,1950,74,5476,4
296344249,2000,1,2,3,3,4,1,25,1,I,0.0,8840.0,8840.0,0.0,,0.0,160338.0,160338.0,0.0,0.0,2,2000,23,529,3
296716165,1941,2,1,2,-1,-1,-1,17,2,,0.0,2777.0,2777.0,0.0,,0.0,88195.0,88195.0,0.0,0.0,1,1940,82,6724,2
296769933,2000,1,2,2,2,6,6,10,3,R,61.0,697.0,758.0,8.047493403693931,1.0,6986.0,13416.0,20402.0,34.24174100578375,1.0,2,2000,23,529,2
